# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
巴洛克艺术	バロック
巴麻美	巴マミ
巴马瑶族自治县	巴馬ヤオ族自治県
巴门尼德	パルメニデス
巴米扬	バーミヤーン
巴莫	バー・モウ
巴拿巴	バルナバ
巴拿马	パナマ
巴拿马型	パナマックス
巴拿马运河	パナマ運河
巴纳纳	バナナ (コンゴ民主共和国)
巴南区	巴南区
巴尼亚卢卡	バニャ・ルカ
巴青县	バチェン県
巴塞尔	バーゼル
巴塞罗那	バルセロナ
巴塞罗那大学	バルセロナ大学
巴山	巴山
巴蛇	巴蛇
巴士底狱	バスティーユ牢獄
巴士拉	バスラ
巴士站	バス停留所
巴氏合金	バビットメタル
巴斯蒂亚	バスティア
巴斯夫	BASF
巴斯光年	バズ・ライトイヤー
巴斯克人	バスク人
巴斯托涅	バストーニュ
巴塔克	バタク (ブルガリア)
巴塘县	巴塘県
巴特曼	バトマン
巴特那	パトナ
巴特纳	バトナ
巴统	バトゥミ
巴图鲁	バトゥル
巴西	ブラジル
巴西杯	コパ・ド・ブラジル
巴西利斯克	バジリスク
巴西利亚	ブラジリア
巴西柔术	ブラジリアン柔術
巴颜喀拉山脉	バヤンカラ山脈
巴彦淖尔市	バヤンノール市
巴彦县	巴彦県
巴音郭楞蒙古自治州	バインゴリン・モンゴル自治州
巴御前	巴御前
巴宰族	パゼッヘ族
巴中市	巴中市
巴州区	巴州区
扒带	トランスクリプション
芭芭拉	東ベルリンから来た女
芭芭雅嘎	バーバ・ヤーガ
芭比娃娃	バービー
芭菲	パフェ
芭蕉	バショウ
芭蕉科	バショウ科
芭蕾舞	バレエ
芭蕾舞者	バレエダンサー
峇峇娘惹	プラナカン
疤痕	瘢痕
拔刀术	抜刀術
拔都	バトゥ
拔罐	カッピング療法
拔河	綱引き
拔毛癖	抜毛症
菝葜	サルトリイバラ
钯	パラジウム
靶向治疗	分子標的治療
鲅鱼圈区	ハツ魚圏区
霸凌	いじめ
霸权主义	覇権
霸天虎	デストロン (トランスフォーマー)
霸王	覇王
霸王餐	無銭飲食
霸鹟亚目	タイランチョウ亜目
霸州市	覇州市
灞桥区	ハ橋区
白矮星	白色矮星
白澳政策	白豪主義
白板	ホワイトボード
白冰冰	白冰冰
白藏主	白蔵主
白茶	白茶
白城市	白城市
白翅黄池鹭	カンムリサギ
白崇禧	白崇禧
白川英树	白川英樹
白唇鹿	クチジロジカ
白蛋白	アルブミン
白道	白道
白登之围	白登山の戦い
白帝城	白帝城
白癜风	尋常性白斑
白丁	白丁
白洞	ホワイトホール
白豆蔻	カルダモン
白俄罗斯	ベラルーシ
白额雁	マガン
白垩纪	白亜紀
白恩培	白恩培
白匪	白匪
白粉病	うどんこ病
白腹锦鸡	ギンケイ
白宫群英	ザ・ホワイトハウス
白骨精	白骨夫人
白冠长尾雉	オナガキジ
白鹳	シュバシコウ
白鬼笔	スッポンタケ
白海	白海
白河	白川
白河县	白河県
白河小峰城	白河小峰城
白鹤	ソデグロヅル
白鹤林	白鶴林
白喉	ジフテリア
白虎	白虎
白化症	アルビノ
白话文学	白話小説
白芨	シラン (植物)
白碱滩区	白鹸灘区
白教堂	ホワイトチャペル
白洁	白潔
白金	白金 (曖昧さ回避)
白金工作室	プラチナゲームズ
白金汉宫	バッキンガム宮殿
白金汉郡	バッキンガムシャー
白晶菊	ノースポール
白鲸	シロイルカ
白井悠介	白井悠介
白颈长尾雉	カラヤマドリ
白酒	白酒 (中国酒)
白居易	白居易
白鹃梅	リキュウバイ
白咖啡	イポーホワイトコーヒー
白兰地	ブランデー
白兰瓜	ハネデューメロン
白朗县	パナム県
白藜芦醇	レスベラトロール
白令海	ベーリング海
白令海峡	ベーリング海峡
白龙马	玉龍
白鹭	コサギ
白露	白露
白马	白馬
白马非马	白馬非馬
白马公园	白馬公園
白马寺	白馬寺 (洛陽)
白马乡	白馬郷
白马啸西风	白馬は西風にいななく
白马雪山	白馬雪山
白马镇	白馬鎮
白马之战	白馬の戦い
白玛赤林	ペマ・ティンレー
白毛女	白毛女
白茅	チガヤ
白玫瑰	白いバラ
白眉鹀	シロハラホオジロ
白眉长臂猿	フーロックテナガザル
白米	白米
白面僧面猴	シロガオサキ
白魔法	白魔術
白内障	白内障
白尼罗河	白ナイル川
白娘子	白娘子
白鸟樱	白鳥さくら
白皮书	白書
白皮松	シロマツ
白旗	白旗
白起	白起
白巧克力	ホワイトチョコレート
白求恩	ノーマン・ベチューン
白屈菜	クサノオウ
白泉社	白泉社
白雀	白雀
白人	白人
白日焰火	薄氷の殺人
白若杂纳	ヴァイローツァナ
白三烯	ロイコトリエン
白色	白
白色革命	白色革命
白色恐怖	白色テロ
白色垃圾	プアホワイト
白色相簿	WHITE ALBUM
白沙	白沙
白沙黎族自治县	白沙リー族自治県
白沙瓦	ペシャーワル
白山	白山 (曖昧さ回避)
白山市	白山市 (吉林省)
白善烨	白善ヨプ
白蛇	白蛇
白蛇传	白蛇伝
白蛇传说	白蛇伝説 (2011年の映画)
白蛇娜卡	白蛇のナーガ
白石	白石
白石城	白石城
白石麻衣	白石麻衣
白石美帆	白石美帆
白石稔	白石稔
白石山	白石山
白石隼也	白石隼也
白水县	白水県
白丝带	ホワイトリボンキャンペーン
白塔区	白塔区
白铁矿	白鉄鉱
白铜	白銅
白头鹤	ナベヅル
白头鹮鹳	インドトキコウ
白兔糖	うさぎドロップ
白尾海雕	オジロワシ
白钨矿	灰重石
白犀	シロサイ
白细胞介素	インターロイキン
白下区	白下区
白鹇	ハッカン
白线流	白線流し
白消安	ブスルファン
白歆惠	ビアンカ・バイ
白行简	白行簡
白熊咖啡厅	しろくまカフェ
白修德	セオドア・ホワイト
白雪	白雪
白雪碧	白雪碧
白雪公主	白雪姫
白血病	白血病
白血球	白血球
白羊座	おひつじ座
白腰雨燕	アマツバメ
白夜行	白夜行
白银	白銀
白银区	白銀区
白银市	白銀市
白影	白い影
白鼬	オコジョ
白玉草	シラタマソウ
白玉县	白玉県
白云观	白雲観
白云区	白雲区
白云石	ドロマイト
白洲迅	白洲迅
白子	白子
白族	ペー族
百臂巨人	ヘカトンケイル
百变龙	スーパーロボット マッハバロン
百草枯	パラコート
百达翡丽	パテック・フィリップ
百度	百度
百度百科	百度百科
百度日本	バイドゥ (企業)
百度输入法	百度入力方法
百分比	パーセント
百鬼夜行	百鬼夜行
百鬼夜行抄	百鬼夜行抄
百合科	ユリ科
百合目	ユリ目
百合属	ユリ
百花仙子	百花仙子
百货战警	モール★コップ
百济	百済
百加得	バカルディ (企業)
百家姓	百家姓
百科全书	百科事典
百科全书派	百科全書派
百里酚蓝	チモールブルー
百里奚	百里奚
百力滋	プリッツ
百利甜	ベイリーズ・オリジナル・アイリッシュ・クリーム
百两金	カラタチバナ
百灵杯	百霊杯戦
百脉根	ミヤコグサ
百慕大	バミューダ諸島
百年孤独	百年の孤独
百年战争	百年戦争
百奇	ポッキー
百人队	ケントゥリア
百日咳	百日咳
百色市	百色市
百胜餐饮集团	ヤム・ブランズ
百事公司	ペプシコ
百思买	ベスト・バイ
百团大战	百団大戦
百威	バドワイザー
百姓	百姓
百越	百越
百丈怀海	百丈懐海
柏柏尔人	ベルベル人
柏拉图	プラトン
柏拉图式恋爱	プラトニック・ラブ
柏拉图主义	プラトニズム
柏林	ベルリン
柏林爱乐乐团	ベルリン・フィルハーモニー管弦楽団
柏林工业大学	ベルリン工科大学
柏林国际电影节	ベルリン国際映画祭
柏林自由大学	ベルリン自由大学
柏木	柏木
柏崎市	柏崎市
柏山奈奈美	柏山奈々美
柏威夏省	プレアヴィヒア州
柏威夏寺	プレアヴィヒア寺院
柏文蔚	柏文蔚
柏乡县	柏郷県
柏油	アスファルト
柏油路	ターマック
柏原崇	柏原崇
柏孜克里克千佛洞	ベゼクリク千仏洞
摆线	サイクロイド
摆钟	振り子時計
拜城县	バイ県
拜耳	バイエル (企業)
拜金女王	王子様の条件
拜金主义	拝金主義
拜罗伊特	バイロイト
拜泉县	拝泉県
拜物教	呪物崇拝
拜亚动力	ベイヤーダイナミック
拜占庭	ビュザンティオン
拜占庭帝国	東ローマ帝国
扳手	レンチ
班	分隊
班贝格	バンベルク
班彪	班彪
班禅额尔德尼	パンチェン・ラマ
班超	班超
班达海	バンダ海
班戈	バンゴール
班戈县	パングン県
班公错	パンゴン湖
班固	班固
班基	バンギ
班加西	ベンガジ
班婕妤	班ショウヨ
班克斯	バンクシー
班克斯岛	バンクス島
班玛县	班瑪県
班图斯坦	バントゥースタン
班姓	班 (姓)
班昭	班昭
班竹	バンジュール
班卓琴	バンジョー
般若经	般若経
斑鳖	シャンハイハナスッポン
斑海豹	ゴマフアザラシ
斑鬣狗	ブチハイエナ
斑蝥	スパニッシュフライ
斑头雁	インドガン
斑尾林鸽	モリバト
斑纹角马	オグロヌー
斑岩	斑岩
斑鱼狗	ヒメヤマセミ
斑嘴鸭	カルガモ
阪急电车	阪急電車 (小説)
阪口大助	阪口大助
阪口周平	阪口周平
阪神	阪神
阪神大地震	阪神・淡路大震災
阪神虎	阪神タイガース
阪田佳代	阪田佳代
坂本昌行	坂本昌行
坂本冬美	坂本冬美
坂本浩一	坂本浩一
坂本龙马	坂本龍馬
坂本千夏	坂本千夏
坂本真绫	坂本真綾
坂井泉水	坂井泉水
坂口安吾	坂口安吾
坂口博信	坂口博信
坂崎亮	リョウ・サカザキ
坂上	坂上
坂田美影	坂田美影
坂田荣男	坂田栄男
坂元裕二	坂元裕二
板村智幸	板村智幸
板谷由夏	板谷由夏
板胡	板胡
板甲	プレートアーマー
板栗	シナグリ
板球	クリケット
板鳃亚纲	板鰓亜綱
板岩	粘板岩
板野一郎	板野一郎
板野友美	板野友美
板垣退助	板垣退助
板约瀑布	徳天瀑布
版本	版
版本控制	バージョン管理システム
版画	版画
版面设计	レイアウト
版税	ロイヤルティー
办公室女职员	OL
办公自动化	オフィス・オートメーション
半保留复制	半保存的複製
半边莲	ミゾカクシ
半翅目	カメムシ目
半导体	半導体
半岛	半島
半岛电视台	アルジャジーラ
半岛战争	半島戦争
半分	技あり
半胱氨酸	システイン
半规管	三半規管
半合成	半合成
半径	半径
半两	半両銭
半坡遗址	半坡遺跡
半旗	半旗
半球	半球
半人马	ケンタウロス
半人马座	ケンタウルス座
半日花科	ハンニチバナ科
半乳糖	ガラクトース
半乳糖激酶	ガラクトキナーゼ
半乳糖血症	ガラクトース血症
半身人	ハーフリング
半神	半神
半衰期	半減期
半条命	ハーフライフ (ゲーム)
半透膜	半透膜
半吸血鬼	ダンピール
半夏	カラスビシャク
半纤维素	ヘミセルロース
半妖	半妖
半音	半音
半元音	半母音
半月板	半月板
半月礁	ハーフムーン礁
半自动变速器	セミオートマチックトランスミッション
伴性遗传	伴性遺伝
伴奏	伴奏
扮装皇后	ドラァグクイーン
瓣鳞花科	フランケニア科
邦	邦
帮会	幇
榜眼	榜眼
膀胱	膀胱
膀胱癌	膀胱癌
膀胱镜	膀胱鏡
膀胱炎	膀胱炎
蚌埠市	蚌埠市
蚌埠站	蚌埠駅
蚌山区	蚌山区
傍人	パラントロプス
傍晚	夕
棒棒鸡	棒棒鶏
棒棒糖	ペロペロキャンディ
棒花鱼	ツチフキ
棒球	野球
棒球帽	ベースボールキャップ
棒球英豪	タッチ (漫画)
棒旋星系	棒渦巻銀河
磅	ポンド (質量)
磅蛋糕	パウンドケーキ
包	包
包法利夫人	ボヴァリー夫人
包含映射	包含写像
包涵体	封入体
包豪斯	バウハウス
包河区	包河区
包兰铁路	包蘭線
包内	バオーネ
包牌	責任払い
包皮	陰茎包皮
包皮垢	恥垢
包世臣	包世臣
包头机场	包頭空港
包头市	包頭市
包姓	包 (姓)
包拯	包拯
包子	包子
孢子	胞子
孢子囊	胞子嚢
胞嘧啶	シトシン
胞吐作用	エキソサイトーシス
褒姒	褒ジ
薄壁组织	柔組織
薄层色谱法	薄層クロマトグラフィー
薄扶林	薄扶林
薄荷	ミント
薄伽梵歌	バガヴァッド・ギーター
薄烤饼	ホットケーキ
薄膜	薄膜
薄膜电阻	シート抵抗
薄暮	薄暮
薄片	突板
薄熙来	薄熙来
薄一波	薄一波
宝安区	宝安区
宝贝计划	プロジェクトBB
宝成铁路	宝成線
宝船	宝船
宝坻区	宝テイ区
宝鼎	宝鼎
宝丰县	宝豊県
宝鸡市	宝鶏市
宝嘉康蒂	ポカホンタス
宝洁	プロクター・アンド・ギャンブル
宝莱坞	ボリウッド
宝丽来	ポラロイド
宝莲灯	宝蓮灯
宝莲灯前传	宝蓮灯前伝
宝清县	宝清県
宝庆	宝慶
宝山	宝山
宝山路站	宝山路駅
宝山区	宝山区
宝石学	宝石学
宝塔区	宝塔区
宝缇嘉	ボッテガ・ヴェネタ
宝兴县	宝興県
宝应县	宝応県
宝元	宝元
宝中铁路	宝中線
饱和性	飽和
保安	保安
保安族	バオアン族
保村真	保村真
保大	保大
保大帝	バオ・ダイ
保德县	保徳県
保定市	保定市
保定站	保定駅
保护工业产权巴黎公约	工業所有権の保護に関するパリ条約
保护国	保護国
保护状况	保全状況
保加利亚	ブルガリア
保甲制度	保甲制度
保靖县	保靖県
保康县	保康県
保克海峡	ポーク海峡
保莱塔	ペドロ・パウレタ
保乐力加	ペルノ・リカール
保利集团	保利集団
保留字	予約語
保罗	パウル
保罗书信	パウロ書簡
保密性	秘密
保民官	護民官
保全	警備員
保山市	保山市
保时捷	ポルシェ
保时捷卡宴	ポルシェ・カイエン
保守党	保守政党
保守主义	保守
保送	四球
保泰	保泰
保田圭	保田圭
保亭黎族苗族自治县	保亭リー族ミャオ族自治県
保卫者	ディフェンダー (ゲーム)
保温车	冷蔵車
保险杠	バンパー
保元	保元
保障措施	緊急輸入制限
鸨	ノガン科
褓姆	保育士
报国寺	報国寺
抱枕	抱き枕
豹	ヒョウ
豹人	ジャガーマン
鲍春来	鮑春来
鲍里索夫	ボリソフ
鲍曼	ボウマン
鲍叔牙	鮑叔
鲍威尔湖	パウエル湖
暴发户	成金
暴力	暴力
暴力团	暴力団
暴露癖	露出症
暴投	暴投
暴雨	集中豪雨
暴走漫画	レイジコミック
暴走族	暴走族
爆冷	ヴィヴァパタカ
爆裂鼓手	セッション (映画)
爆破	爆破
爆胎	パンク
爆炸	爆発
爆炸当量	TNT換算
爆震	ノッキング
爆竹	爆竹
卑尔根大学	ベルゲン大学
卑弥呼	卑弥呼
卑南溪	卑南渓
卑南族	プユマ族
杯葛	ボイコット
杯子	コップ
悲惨世界	レ・ミゼラブル
悲观主义	悲観主義
悲剧的诞生	悲劇の誕生
悲情城市	悲情城市
悲喜剧	悲喜劇
碑	石碑
碑林区	碑林区
鹎科	ヒヨドリ科
北	北
北爱尔兰	北アイルランド
北安普顿	ノーザンプトン
北安市	北安市
北岸	ノースショア
北半球	北半球
北碚区	北碚区
北碧府	カーンチャナブリー県
北冰洋	北極海
北部湾	トンキン湾
北朝	北朝
北辰区	北辰区
北出菜奈	北出菜奈
北川村	北川村
北川景子	北川景子
北川羌族自治县	北川チャン族自治県
北川瞳	北川瞳
北村透谷	北村透谷
北达科他州	ノースダコタ州
北大	北大
北大西洋公约	北大西洋条約
北大西洋公约组织	北大西洋条約機構
北戴河区	北戴河区
北岛三郎	北島三郎
北德文斯克	セヴェロドヴィンスク
北狄	狄
北电网络	ノーテルネットワークス
北都南	北都南
北斗	北斗
北斗七星	北斗七星
北斗神拳	北斗の拳
北斗卫星导航系统	北斗 (衛星測位システム)
北斗星君	北斗星君
北方邦	ウッタル・プラデーシュ州
北方舰队	北方艦隊
北方蓝鳍金枪鱼	タイセイヨウクロマグロ
北方联盟	北部同盟 (アフガニスタン)
北非谍影	カサブランカ (映画)
北风	北風
北港	北港
北高加索	北コーカサス
北谷洋	きただにひろし
北瓜	ペポカボチャ
北关	北関
北关区	北関区
北国	北国
北国之春	北国の春
北海	北海 (曖昧さ回避)
北海道	北海道
北海狗	キタオットセイ
北海舰队	北海艦隊
北海狮	トド
北海市	北海市
北海油田	北海油田
北汉	北漢
北河二	カストル (恒星)
北河三	ポルックス (恒星)
北湖区	北湖区
北华大学	北華大学
北回归线	北回帰線
北极村	北極村
北极地区	北極
北极点	北極点
北极海鹦	ニシツノメドリ
北极群岛	北極諸島
北极兔	ホッキョクウサギ
北极星	北極星
北加州	北カリフォルニア
北江	北江
北江区	北江区
北江省	バクザン省
北江市	バクザン (ベトナム)
北角	北角
北京北站	北京北駅
北京大学	北京大学
北京地铁	北京地下鉄
北京第二外国语学院	北京第二外国語大学
北京电影学院	北京電影学院
北京东站	北京東駅
北京动物园	北京動物園
北京工人体育场	北京工人体育場
北京国际汽车展览会	北京モーターショー
北京航空航天大学	北京航空航天大学
北京华联	北京華聯
北京话	北京語
北京机场	北京空港
北京军区	北京軍区
北京烤鸭	北京ダック
北京南站	北京南駅
北京青年报	北京青年報
北京人	北京原人
北京商务中心区	北京商務中心区
北京师范大学	北京師範大学
北京时间	中国標準時
北京世界公园	北京世界公園
