# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
安西	安西
安西大都护府	安西大都護府
安息年	安息年
安息日	安息日
安息香	ベンゾイン
安息香属	エゴノキ属
安溪县	安渓県
安县	安県
安乡县	安郷県
安新县	安新県
安姓	安 (姓)
安阳市	安陽市
安阳王	蜀ハン
安阳县	安陽県
安野光雅	安野光雅
安野希世乃	安野希世乃
安义县	安義県
安永	アーンスト・アンド・ヤング
安又琪	安又琪
安源区	安源区
安远县	安遠県
安岳县	安岳県
安在旭	アン・ジェウク
安泽县	安沢県
安哲秀	安哲秀
安志杰	安志杰
安重根	安重根
安祚永	安祚永
桉树	ユーカリ
氨	アンモニア
氨基磺酸	スルファミン酸
氨基葡萄糖	グルコサミン
氨基酸	アミノ酸
氨基糖	アミノ糖
氨甲酰磷酸	カルバモイルリン酸
氨碱法	ソルベー法
氨氯地平	アムロジピン
氨水	水酸化アンモニウム
庵野秀明	庵野秀明
鹌鹑	ヨーロッパウズラ
鞍	鞍
鞍马	あん馬
鞍山钢铁	鞍山鋼鉄集団
鞍山市	鞍山市
俺答汗	アルタン・ハーン
唵	オーム (聖音)
岸	海岸
岸本齐史	岸本斉史
岸本早未	岸本早未
岸部一德	岸部一徳
岸谷五朗	岸谷五朗
岸田隆宏	岸田隆宏
岸田文雄	岸田文雄
岸信介	岸信介
按摩	マッサージ
按摩棒	バイブレータ
按钮	押しボタン
案底	前科
胺	アミン
胺碘酮	アミオダロン
暗渡陈仓	暗渡陳倉
暗房	暗室
暗礁	暗礁
暗绿背鸬鹚	ウミウ
暗能量	ダークエネルギー
暗棋	暗棋
暗器	暗器
暗杀	暗殺
暗沙	堆
暗物质	暗黒物質
暗箱	カメラ・オブスクラ
暗星	ダークマター星
暗眼灯草鹀	ユキヒメドリ
暗云	ダーククラウド
暗之末裔	闇の末裔
暗芝居	闇芝居
黯黮章	包み隠す (クルアーン)
昂昂溪区	昂昂渓区
昂布瓦斯城堡	アンボワーズ城
昂船洲	昂船洲
昂丹司琼	オンダンセトロン
昂蒂布	アンティーブ
昂古莱姆	アングレーム
昂仁县	ガムリン県
昂山	アウンサン
昂首向前走	上を向いて歩こう
盎司	オンス
凹版印刷	凹版印刷
敖包	オボー
敖汉旗	敖漢旗
螯合物	キレート
鳌拜	オボイ
傲骨燕	スバメ
傲慢	ヒュブリス
傲视天下	20/20エクスペリエンス
傲游浏览器	Maxthon
奥	奥
奥本海默	オッペンハイマー
奥伯豪森	オーバーハウゼン
奥氮平	オランザピン
奥德赛	オデュッセイア
奥德修斯	オデュッセウス
奥地利	オーストリア
奥地利大奖赛	オーストリアグランプリ
奥地利皇帝	オーストリア皇帝
奥地利总理	連邦首相 (オーストリア)
奥地利总统	連邦大統領 (オーストリア)
奥迪	アウディ
奥迪康	オーティコン
奥迪托雷	アウディトーレ
奥丁	オーディン
奥尔巴尼	オールバニ (ニューヨーク州)
奥尔堡	オールボー
奥尔登堡	オルデンブルク
奥尔良	オルレアン
奥尔洛夫	オルロフ
奥尔特云	オールトの雲
奥芬巴赫	オッフェンバッハ (曖昧さ回避)
奥弗涅	オーヴェルニュ地域圏
奥格登	オグデン
奥格斯堡	アウクスブルク
奥古斯都	アウグストゥス
奥古斯塔	オーガスタ
奥胡斯	オーフス
奥卡姆剃刀	オッカムの剃刀
