# Chinese → Japanese learner glosses
# Source: lxl66566/Japanese-Chinese-thesaurus final.json
# Upstream: https://github.com/lxl66566/Japanese-Chinese-thesaurus
# License: The Unlicense
# Method: invert concise Chinese gloss segments and intersect bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
啊	おお・やあ
煨	煮る
围巾	スカーフ・マフラー
围拢	取り囲む
围棋	碁
围墙	塀
围裙	エプロン
围绕	取り巻く・囲む
围住	取り巻く
违背	背く・裏切る
违反	反する・犯す
违规	反則
违和感	違和感
违抗	背く・逆らう
唯一	唯一
唯一手段	一途
帷幕	幕
维持	保つ・持続
维度	次元
维护	守る・手入れ
维生素	ビタミン
维他命	ビタミン
维修	整備・補修
伟大的	偉い
伪装	装う・見せかける
尾巴	尻尾・尾
尾部	尾
纬度	緯度
委身	委ねる
委托	任す・任せる
委婉地	やんわり
委员	委員
委员会	委員会
卫生	厚生
为	なす
为何	なぜ
为了	為
为难	困る・困惑
为人	心掛け
为什么	どうして・どうしてですか
为时已晚	手遅れ
未必	よもや・必ずしも
未成年	蕾
未开垦	未開
未来	将来・未来
未了	ついに
未满	未満
未知	未知
位数	桁
位置	位置
味淡	薄味
味道	味わい・風味
味道醇厚	深み
味浓	こってり
畏惧	危惧
畏缩	引っ込む・縮まる
胃	胃
喂	いざ・ねえ
喂喂	おいおい・ねえねえ
蔚蓝	真っ青
慰劳	労う・労わる
慰问	慰める・見舞い
温	温めます
温度	温度
温和	温和
温和的	和やか・温い
温暖	暖かい・暖かい、温かい
温泉胜地	温泉地
温热	暖かい、温かい
温柔	温和
温柔的	優しい
温室	温室
温顺的	大人しい
温习	おさらい
文化	文化
文化节	祭り
文化遗产	文化財
文件	ファイル・文書
文件名	件名
文静	おっとり
文具	文房具
文明	文明
文书	文書
文学	文学
文艺工作者	芸能人
文章	文・文章
文字	字・文字
文字处理机	ワープロ
纹丝不动	びくとも
吻合	しっくり・合致
稳定	安定・定まる
稳定的	手堅い
稳固	堅実
稳妥	妥当
稳扎稳打	着々
稳重	おっとり・穏和
问	伺います・問い合わせる
问答	問答
问号	クエスチョンマーク
问候	見舞い
问卷调查	アンケート
问题	問い
问讯处	インフォメーション・受付
我	おれ・僕
我店	当店
我方	当方
我公司	我が社
我国	我が国
我看看	え―と
我了解了	そうですか
我们	わたしたち・当方
我明白了	わかりました
我行我素	マイペース
我知道了	わかりました
我走了	失礼します
握	握る
握手	握手
乌黑	真っ黒
乌篷船	烏蓬船
乌鸦	カラス
乌镇	烏鎮
污点	染み
污垢	垢・汚れ
污痕	染み
污染	汚染
污浊	濁る
污渍	汚れ
屋顶	屋根
无	無し
无比的	限りない
无变化	単調
无车日	ノーマイカーデー
无耻	ずうずうしい・卑怯
无耻的	厚かましい・図々しい
无动于衷	平気
无法	しょうがない
无法对付	持て余す
无话可说了	それまで
无机	無機
无计划	無計画
无价值	無意味
无精打采	しょんぼり
无可非议	無難
无可奈何	しょうがない・やむをえず
无礼	無礼
无理取闹	絡む
无聊	くだらない・ナンセンス
无聊的	たわいない・つまらない
无论如何	ともあれ・ともかく
无论什么	なんでも・なんなりと
无论什么时候	いつでも
无论怎么	いくらなんでも
无论怎样	何しろ
无名指	薬指
无奈	しょうがない
无情的	そっけない・ひどい
无人驾驶	自動運転
无人在家	留守にします
无事	無用
无视	無視・無視する
无数	無数
无所事事	ごろごろ
无微不至	至れり尽くせり・行き届く
无线电	無線
无限的	限りない
无形中	知らず知らず
无益	くだらない
无意识	無意識
无意识的	何気ない
无意义	ナンセンス・無意味
无意中	たまたま・つい
无用	余計・無駄
无用的人	半端
无与伦比	絶対
无知	無知
无止境	無限
无止境的	限りない
无罪	無罪
毋宁	むしろ
五	五
五个	5つ・五つ
五官	顔立ち
五岁	五つ
五五分	五分五分
午餐	お昼・ランチ
午饭	お昼・昼食
午后	午後
午觉	昼寝
午睡	昼寝
午休	昼休み・昼寝
武打剧	アクション
武力	武力
武器	兵器・武器
武士	武士
武士道	武道
武术	武道
武田	武田
武艺	武道
舞蹈	ダンス
舞蹈家	ダンサー
舞动	スイング
舞会	パーティー
舞女	ダンサー
舞台	ステージ・舞台
务必	ぜひ・ぜひとも
物理	物理
物体	物資
物主	オーナー
误点	遅延
误会	勘違い・誤解
误解	勘違い・誤解
误听	聞き間違える
夕阳	夕日
吸尘器	掃除機
吸管	ストロー
吸取	吸収
吸入	吸う
吸收	吸い取る・摂取
吸烟	喫煙
吸烟区	喫煙席
吸引	引く
西	西
西安	西安
西班牙	スペイン
西北	北西
西餐	洋食
西方	西・西洋
西面	西
西式	洋式
西式风格	洋風
西式糕点	洋菓子
西塘	西塘
西洋	西洋
西装	スーツ・洋服
希望	リクエスト・希望
希望的	欲しい
牺牲	殺す・犠牲
牺牲者	犠牲者
惜别	名残
淅淅沥沥	しとしと
稀泥	泥
稀少的	稀
稀释	薄める
稀稀拉拉	ぼつぼつ
稀稀落落	ぱらぱら
熄火	エンスト
熄灭	消える
膝盖	ひざ
膝关节	ひざ
膝关节炎	ひざ関節炎
习惯	慣れる・癖
洗	洗います
洗涤剂	洗剤
洗掉	濯ぐ
洗练	洗練します
洗盘子	皿洗い
洗手	手洗い
洗手间	お手洗い・トイレ
洗衣服	洗濯・洗濯します
洗衣机	洗濯機
洗浴	入浴
洗浴设施	入浴施設
洗浴中心	銭湯
洗澡	風呂・［お］ふろ
洗澡水	湯
喜爱	かわいがる・可愛がる
喜不自禁	うきうき
喜好	嗜好・好み
喜欢	好き［な］・好く
喜欢的	好き
喜剧	喜劇
喜讯	朗報
喜宴	披露宴
喜悦	わくわく・喜び
戏法	手品
戏服	衣装
戏剧	ドラマ・戯曲
戏弄	からかう・冷やかす
戏言	冗談
戏装	コスチューム
系	つなぐ・結びます
系紧	締める
系列	シリーズ
系上	結び付ける
系统	システム・系列
系统下	傘下
细腻	緻密
细绳	ひも・紐
细小	細かい
细心	丁寧・丹念
细心地	丁寧に
细长	ほっそり・細い
细致	念入り・精細
虾	エビ
虾仁	エビ
峡谷	谷間
狭窄	窮屈
狭窄的	狭い
瑕疵	傷・瑕疵
霞浦	霞ヶ浦
下	上/下/前/後ろ/隣/中/外・降る
下巴	顎
下班	退勤
下车	下車
下垂	垂れる
下次	今度・次回
下定决心	思い込む・踏み切る
下定义	定義
下颚	顎
下个月	来月
下功夫	工夫
下狠心	思い切る
下降	ダウン・下がる
下来	下ります・降りる/下りる
下列	下記
下流	下流
下落	行方
下面	次
下去	下る
下属	目下・部下
下述	以下
下午	午後
下旬	下旬
下一次	次の
下一个	次・次の
下一年	翌年
下游	下流
下雨	雨
下载	ダウンロード
下座	下座
吓唬	脅かす・驚かす
吓一跳	どきっと・びっくり
夏服	夏物
夏季	夏
夏目漱石	夏目漱石
夏天	夏場
夏威夷	ハワイ
先进	先端・進む
先例	前例
先入之见	先入観
先兆	前触れ
先祖	先祖
纤维	繊維
纤细	すんなり・細い
纤细苗条	ほっそり
鲜	生
鲜红	真っ赤
鲜活	新鮮
鲜明	冴える
鲜艳的	鮮やか
闲话	世間話
闲话休提	それはさておき
闲聊	世間話・雑談
闲谈	トーク
闲暇	隙
闲暇时间	余暇
闲着没事	ごろごろ
咸菜	漬物
咸的	しょっぱい・塩辛い
咸亨酒店	咸亨酒店
嫌麻烦	億劫
嫌弃	嫌がる
嫌疑	疑い
嫌疑人	容疑者
显出	表れる
显得好看	映える
显露	浮かび上がる・現す
显然	断然
显示	再生
显现	出る
显眼	ぱっと・映える
显著	めっきり・目立つ
显著的	著しい・顕著
显著提高	めきめき
险些	危うく
县	県
县政府	県庁
现场	現地
现代	現代
现代美术	現代美術
现地址	現住
现货	実物
现金	キャッシュ・現金
现实	現実
现实社会	実社会
现象	現象
现有	既成
现在	ただ今・今
现在为止	今まで
现在已经	今や
现在正是	今や
现状	現状
线	ライン・糸
线路	回路・線路
线索	心当たり・手がかり
限定	限る
限度	制限・限り
限时特卖	タイムサービス
限制	制する・制約
宪法	憲法
陷入	嵌る・踏み込む
陷入僵局	行き詰る
陷下	凹む
馅料	餡
羡慕	うらやましい・羨む
献上	奉る
献身	委ねる
乡间	郷土
乡里	郷里
乡音	訛り
相称	マッチ・似合います
相当	なかなか・よほど
相当于	当たる
相抵	差し引き・差し引く
相反	逆・逆らう
相隔	隔たる
相关	関連
相互	互いに・相互
相互爱慕	愛し合う
相继	相次ぐ
相交	交わる
相连	繋がり・繋がる
相邻	接する
相片	写真
相扑	相撲
相似	あやかる・似ます
相通	通じます
相同	同一
相同的	等しい
相信	信じる・信頼する
相形见绌	見劣り・顔負け
相邀	誘い合わせる
相异	相違
相拥	抱き締める
相遇	出会い
相约	誘い合わせる
香槟酒	シャンパン
香的	香ばしい
香菇	椎茸
香料	スパイス
香味	香り
香烟	たばこ
镶嵌	ちりばめる
详尽	綿密
详细的	細やか・詳しい
详细内容	内訳
详细情况	詳細
享受	いやし・享受
响	響く
响起	鳴ります
响应	応える
响子	響子
想	存・存じる
想办法	どうにか・なにとぞ
想必	さぞ・さぞかし
想不开	くよくよ
想出	思いつく・思い出します
想出来	考え出す
想到	思いつく
想法	アイデア・アイディア/アイデア
想方设法	何とか
想开	諦め
想起	思いつく・浮かぶ
想起来	思い出す・思い浮かぶ
想吐	むかつく・むかむか
想象	ビジョン・想像
想要的	欲しい
向	向かう
向导	手引き・案内
向日葵	ひまわり
向上	向上
向往	憧れる
向下看	見下ろす
向阳	日当たり
向阳处	日当たり
项链	ネックレス・首輪
项目	プログラム・プロジェクト
象声词	オノマトペ
象征	シンボル・印
像	似る
橡胶	ゴム
消	解ける
消沉	くじける・挫ける
消除	去る・取れる
消防人员	消防士
消费	消費
消费税	消費税
消极	受け身・後ろ向き
消灭	無くす・解消
消遣	保養・悪戯
消融	溶ける
消散	晴れる・発散
消失	去る・消えます
消逝	経つ
消息	インフォメーション・便り
萧条	不況
销售	こなす・セールス
销售促进	販売促進
销售情况	売れ行き
销售人员	販売員
潇洒的	ハンサム
嚣张	威張る
小	下
小便	おしっこ
小步走	ちょこちょこ
小册子	パンフレット
小吃店	スナック
小川	小川
小船	ボート
小刀	ナイフ
小道	裏口
小的	小さい・小さな
小弟弟	坊ちゃん
小点心	スナック
小洞	ぼつぼつ
小房子	小屋
小费	チップ
小公司	小社
小鼓	鼓
小故事	エピソード
小孩	子ども
小孩子	砂利
小节目	見世物
小姐	お嬢さん
小句	名词的修饰
小礼物	土産
小炉子	コンロ
小麦	小麦・麦
小卖店	ショップ
小毛孩儿	青二才
小朋友	坊ちゃん
小票	レシート
小气	けち
小勺	小さじ
小声说话	ささやく
小数	小数
小数点	コンマ・小数点
小说	フィクション
小提琴	バイオリン
小题大做	大げさ
小偷	すり・泥
小巷	路地
小心	用心
小型	小型
小型汽车	軽自動車
小学生	小学生
小意思	ほんのきもちです
小组	サークル
小组讨论	セミナー
孝敬	孝行
孝敬父母	親孝行
孝顺	孝行
效仿	あやかる・似せる
效果	パフォーマンス・万能
效劳	奉仕
效力	効力・尽くす
效率	能率
效验	万能
效用	効用
校舍	校舎
校园	キャンパス
校长先生	校長先生
笑话	ジョーク・冗談
笑脸	笑顔
笑眯眯	にこにこ
歇业	休業
歇一会儿	一休み
协调	合う・対応
协商	協議・打ち合わせる
协议	協議
协作	協力・提携
胁迫	脅迫
偕同	携える
斜坡	坂
携带	所持・持ちます
携手	携える
鞋后跟	踵
鞋子	靴
写	書く
写成	書き上げる
写法	書き方
写上	書き込む
写完	書き上げる
写下来	書き留める
写信	投書
写作	執筆・著す
泄漏	漏れます
泄露	ばらす・口外
卸货	下ろします・下ろす/降ろす
谢绝	断る・辞退
谢了	どうも
谢谢	ありがとう・おおきに
谢谢你	［どうも］ありがとう［ございます］
谢意	礼
谢罪	謝る
懈怠	怠ける
邂逅	巡り合う
心	心
心得	心得
心灰意冷	がっかり
心境	心地
心旷神怡	とろける
心理	心理
心理学	心理学
心理阴影	トラウマ
心理咨询	カウンセリング
心平气和	しんみり
心情	心・気
心情激动	ぞくぞく
心情舒畅	晴れ渡る
心情愉快	上機嫌・気持ちがいい
心神不定	そわそわ・揉める
心事	心配事・考え事
心术	意地
心头	念頭
心血来潮	気まぐれ
心愿	念願・願望
心中	内心
辛苦	苦労
辛劳	苦労します
辛辛苦苦	あくせく
欣赏	偲ぶ・楽しむ
新创作	新作
新的	新しい・新た
新干线	新幹線
新疆	新疆
新郎	新郎・花婿
新年	お正月・新年
新娘	花嫁
新人	新人
新上市	デビュー
新手	新人
新闻	ニュース・記事
新闻素材	ねた
新西兰	ニュージーランド
新潟县	新潟県
新鲜的	新しい
新叶	若葉
新颖的	珍しい
新作品	新作
薪酬	給与
薪金	賃金
薪水	賃金
信步而行	ぶらぶら
信号	サイン
信件	書面
信口开河	言い放つ
信赖	頼み
信赖关系	信頼関係
信念	信念・信条
信任	信じます・覚え
信徒	信者
信息	インフォメーション・メッセージ
信箱	ポスト・郵便受け
信心	自信・覚え
信用	信用
信用卡	クレジットカード
星期二	火曜日
星期几	何曜日
星期六	土曜日
星期三	水曜日
星期四	木曜日
星期天	日曜日
星期五	金曜日
星期一	月曜日
星星	スター・星
星野	星野
刑罚	刑罰
刑法	刑法
刑警	刑事
刑事	刑事
行	よろしい
行刺	暗殺
行动	振る舞う・行動
行会	組合
行家	玄人・職人
行了	まあまあ
行了行了	まあ、まあ
行李	荷物
行李箱	スーツケース
行李员	手荷物係
行列	列・行列
行情	気配
行情看涨	上向く・強気
行人	歩行者
行使	行使
行市	相場
行为	行動・行為
行星	星
行踪	跡
形成	なす・形作る
形式	スタイル・フォーム
形势	勢い・空模様
形态	ポーズ
形象	イメージ
形象代言人	イメージキャラクター・キャラクター
形形色色	さまざま・まちまち
醒来	目覚める・覚める
醒悟	目覚める・覚める
兴奋	うきうき・わくわく
兴奋剂	覚醒剤
兴高采烈地	いそいそ
兴起	台頭
兴趣	楽しみ・興味
兴盛	賑わう
兴旺	栄える
姓	名字・姓
姓和名	氏名
姓名	姓名・氏名
姓名牌	名札
姓氏	名字
幸存	サバイバル
幸好	幸い
幸运	ラッキー・幸せ
幸运的	めでたい
性别	ジェンダー・性別
性格	キャラクター・気質
性格相合	相性
性格直爽	がらがら
性能	パフォーマンス
性情	根性・気心
性质	キャラクター・性質
性质恶劣	悪質
性子急	短気
凶猛	猛烈
兄弟	いとこ
兄弟姐妹	兄弟
胸针	ブローチ
雄	雄
雄性	雄
熊	熊
熊猫	パンダ
熊熊	かんかん
休假	バカンス・休暇
休眠	睡眠
休憩	憩い
休息	ブレーク・休み
休息片刻	一休み
休息一会儿	息抜き
休闲的	長閑
修补	繕う
修订	訂正
修复	改修
修改	改める・改正
修改程序	バージョンアップ
修好	直る
修剪	刈る
修建	建設・構える
修理	修理します・修繕
修理站	サービスステーション
修缮	繕う
修饰	で/へ/から/まで/と+の・繕う
修养	教養
修整	手入れ
羞愧	恥じる
羞涩	恥らう
嗅	嗅ぐ
须知	心得
虚构	フィクション・架空
虚拟	仮想
需求	需要
需要	取れる・要する
徐行	緩行
许多	幾多・数々
许可	ライセンス・許可
许可证	ライセンス・免許
栩栩如生	いきいき・生き生き
序言	プロローグ
叙述	述べる
絮叨	くどくど
絮絮叨叨	ねちねち
蓄	蓄える
蓄水池	貯水池
宣布	公表・宣告
宣传	ピーアール・広告
宣传画	ポスター
宣传活动	キャンペーン
宣传口号	キャッチフレーズ
宣传媒介	マスコミ
宣告	告げる・言い渡す
宣判	言い渡す
宣言	宣言
喧闹	がやがや
暄腾	ふかふか
玄关	玄関
悬	吊す・吊る
悬挂	つり下げる・掛かります
悬挂物	掛け
悬崖	崖
旋律	メロディ・メロディー
旋钮	ダイヤル
漩涡	渦
选拔	抜き出す・選考
选出	取り出す・抜きん出る
选定	採択
选举	選挙
选手	選手
选项	選択肢
选择	オプション・採択
炫耀	振り回す・自慢
削	カット
削减	削る・削減
削皮	剥く
靴子	長靴
穴位	壺
学到东西	勉強になる
学费	受講料・授業料
学分	単位
学会	学会・習得
学姐	先輩
学科	学科
学力	学力
学期	学期
学生	生徒
学识	学問・教養
学术	学術
学说	理論・説
学问	学問
学习	修行・習います
学校	スクール
学业	学業
学院	学部
学长	先輩
雪	雪
雪白	真っ白
雪白的	真っ白い
血统	血筋
血型	血液型
血液	血・血液
血缘	血・血筋
熏黑	燻る
寻常	一様・並大抵
寻求	探します・求めます
寻找	尋ねる・探します
巡警	お巡りさん・巡査
巡逻	パトロール・見回る
巡视	パトロール
询问	問いただす・尋ねる
荨麻疹	蕁麻疹
循环	サイクル・循環
循环利用	再利用
循环使用	リサイクル
训斥	叱る
训话	訓示
训练	しつける・トレーニング
训练场所	練習所
迅速	早いこと
迅速的	手っ取り早い・素早い
驯服	馴らす
驯熟	馴れる
驯养	馴らす
压	押さえる・押し付ける
压力	圧力
压迫	抑圧
压制	制する・圧迫
压住	抑える/押さえる・押さえ込む
押金	敷金
鸦雀无声	しいんと・しんと
鸭子	鴨
牙齿	歯
牙膏	歯磨き
牙医	歯医者
轧	ひく
亚洲	アジア・朹洋
亚洲人	朹洋人
呀	やあ
烟	煙
烟草	タバコ
烟尘	スモッグ
烟花	花火
烟灰缸	灰皿
烟头儿	吸殻
烟雾	スモッグ
淹没	おぼれる
淹死	川流れ
腌菜	漬物
腌渍	塩漬け
嫣然一笑	にっこり
延迟	遅らせる・遅れ
延缓	延ばす
延期	猶予
延误	滞る
延续	延長
延长	伸ばす・延びる
严格	厳重
严格的	厳しい
严厉的	きつい・シビア
严密	がっしり
严实	かっちり・きっちり
严丝合缝	かっちり
严肃	真剣・真面目
严重	深刻
严重的	ゆゆしい・重い
言过其实	過言
言语	言語
岩浆	溶岩
岩石	岩
沿岸	沿岸
沿海	沿岸
炎热	猛暑
研究	アプローチ・研究します
研究会	研究会
研究开发	研究開発
研究人员	研究者
研究生	院生
研究生院	大学院
研究室	研究室
研究所	研究所
研究员	研究員
研磨	擂り潰す・擂る/擦る
研碎	擂る/擦る
研讨会	セミナー・ゼミ/ゼミナール
盐分	塩分
颜面	面子
颜色	カラー・色
掩盖	ごまかす・覆う
掩埋	埋める・葬る
眼	穴
眼红	うらやましい・妬む
眼睑	瞼
眼界	視野
眼睛	目・瞳
眼睛发花	ちらちら
眼睛模糊	霞む
眼镜	眼鏡
眼看就要	今にも・間近
眼泪	涙
眼皮	瞼
眼前	目の前・目先
眼神	目・目つき
眼下	ここのところ・今の所
眼药水	目薬
演变	推移
演唱会	ライブ
演出	上演・興行
演出费	ギャラ
演技	演技・芝居
演讲	スピーチ・演説
演讲者	講師
演说	講演
演戏	演劇
演员	タレント・俳優
演奏会	演奏会
厌恶	嫌い・憎む
厌烦	いやというほど・うんざり
厌倦	うんざり・飽きる
咽下	飲み込む
宴会	レセプション・宴会
宴席	宴会
谚语	ことわざ
焰火	花火
燕	燕
燕子	ツバメ
赝品	偽物
央求	拝む
秧苗	苗
扬起	揚げます・立てる
羊	羊
羊毛	ウール
羊肉	羊肉
阳光	日光
阳光照射	日差し
阳历	新暦・西暦
杨利伟	楊利偉
洋葱	玉ねぎ
洋酒	洋酒
洋面	沖
洋县	洋県
洋洋	洋洋
洋溢	溢れる・漂う
仰	仰向ける
仰起	仰ぐ・仰向ける
仰仗	仰ぐ
养分	養分
养育	養う
氧	酸素
痒	かゆい
痒的	痒い
痒痒	むずむず
样板	サンプル
样本	見本
样品	サンプル・標本
样式	フォーム・型
样子	ポーズ・形態
妖怪	おばけ
腰	腰
腰带	バンド・ベルト
腰痛	腰痛
腰腿	足腰
邀请	招き
摇	振る
摇动	スイング・動かします
摇晃	ぐらぐら・ふらふら
摇摇晃晃	がたがた・ゆらゆら
摇摇欲坠	揺らぐ
摇曳	ゆらゆら
遥远	はるか・はるばる
咬	かじる・噛む
咬断	噛み切る
咬破	噛み切る
咬牙切齿	歯軋り
药店	薬局
药方	処方箋
药片	錠剤
药品	薬剤
药物	薬
药妆店	ドラッグストア
要	要ります
要点	ポイント・壺
要回来	取り返す
要领	要領
要求	アピール・リクエスト
要塞	要塞
要素	要素
要职	役職
钥匙	かぎ・鍵
耀眼	きらきら
耀眼的	眩しい・輝かしい
也就是	すなわち
也许	ことによると・ひょっとして
野草	雑草
野地	野原
野生	野生
野外	野外
野心	野心
野营	キャンプ
业绩	業績・足跡
业务	業務
业已	すでに
业余爱好者	素人
业余时间	余暇
叶子	葉
页	ページ
页码	ページ
夜不归宿	外泊
夜间	夜中・夜間
夜景	夜景
夜空	夜空
夜路	夜道
夜晚	ナイト・夜間
夜校	夜間学校
液体	液
腋下	脇
一	一
一般	並・人並み
一般情况	通常
一般人	大方
一半	半ば・半分
一半一半	半々
一本正经	堅苦しい・生真面目
一边	かたわら
一遍	一度・一遍
一部分	一部
一层	一層
一次	一度
一寸光阴一寸金	時は金なり
一大排	ずらりと
一大早	朝一
一带	一帯・辺
一旦	いざ
一点	一口
一点点	わずか・本の
一点儿	いくらか・いささか
一点儿也	一向・何にも
一点也	少しも・露
一定	さぞかし・ぜひ
一定程度	ある程度
一定是	さぞ
一度	一度・一時期
一段时期	一時期
一对儿	カップル
一对男女	カップル
一帆风顺	とんとん拍子
一方	片一方・片方
一方面	一方
一分子	一員
一概	一切・一律
一个	1つ・一つ
一个接一个	ぞろぞろ
一个劲儿	遮二無二
一个劲儿地	じゃんじゃん・せっせと
一个例子	一例
一个模子	ワンパターン
一个人	1人・一人
一个星期	週間
一根	一筋
一共	全部で
一贯	まとまり
一号	一日
一户	一家
一晃	ちらっと
一回	一遍
一会儿	まもなく・やや
一家	一家
一家人	一家
一件大事	一大事
一箭双雕	一石二鳥
一举	一挙に
一句话	一言
一看	一目・一覧
一颗颗	ぶつぶつ
一口	一口
一口气	ぐっと・一息
一捆	一括り
一览	一覧
一览表	リスト
一类	形容词的副词性用法
一流	一流
一律	一概に・軒並み
一面	かたわら
一模一样	そっくり
一年	年間
一年到头	年中
一片	一抹
一起	いっしょに・ともに
一起去	同行
一切	あらゆる・ありとあらゆる
一切的事	万事
一刹那	一瞬
一闪	ちらっと
一闪一闪	ちらちら
一生	一生
一时	一時・当分
一时冲动	気まぐれ
一视同仁	まんべんなく
一瞬	一瞬
一丝	一抹
一宿	一晩
一岁	一つ
一天天地	日増しに
一条	一筋
一同	ともに・一緒
一晚	一晩
一望无际	見渡す限り
一味	ひたすら
一系列	一連
一下子	さっと・ざっと
一些	いくらか・なんらか
一心	一心
一心一意	一筋
一眼看穿	一目
一样的	等しい
一夜	一晩
一一列举	数え上げる
一衣带水	一衣帯水
一语道破	ずばり
一员	一員
一跃而起	飛び起きる
一扎	一括り
一知半解	かじる
一直	ずっと
一直到底	とことんまで
一只	片一方
一只手	片手
一只袜子	片足
一只鞋	片足
一致	合う・揃う
一种	一種
一转	一転
一组	セット
伊豆	伊豆
衣橱	たんす
衣服	服・衣服
衣柜	たんす
衣架	ハンガー
衣领	ネック・襟
衣物	衣類
医好	治ります
医疗	手当て
医疗事故	医療
医生	ドクター・先生
医师	医師
医学	医学
医治	いやし・治す
依次	順々に
依据	基準・拠り所
依靠	依存・凭れ掛かる
依赖	依頼・凭れ掛かる
依恋	名残・未練
仪器	器械
仪式	セレモニー・儀式
贻害	誤る
贻误	誤る
移动	ずれる・シフト
移交	引き継ぐ
移开	退ける
遗憾	あいにく・くやしい
遗憾的	悔しい・惜しい
遗迹	遺跡
遗留	遺留
遗漏	抜け落ちる・漏らす
遗弃	遺棄
遗失	なくします・無くなる
遗忘	失念・忘れる
疑点	問題点
疑问	疑い・疑問
疑心	疑惑
乙	乙
乙醇	アルコール
乙烯基	ビニール
已经	すでに・もう
以	もって
以后	この方・以後
以及	並びに
以来	この方・以来
以前	かって・かつて
以上	以上
以失败告终	失敗に終わる
以外	以外
以往	これまで
以下	以下
倚靠	凭れる・杖
椅子	いす
义务	義務
亿	億
艺人	芸能人
艺术	芸術
议会	議会
议论	噂・議論
议员	議員
议长	議長
异常	不順・突拍子もない
异议	文句・異議
抑制	歯止め
易变	斑
易碎的	脆い
轶事	エピソード
翌	明くる
翌日	翌日
意大利	イタリア
意大利面条	スパゲッティ・パスタ
意见	意見・文句
意料	案
意识	意識・正体
意思	意味・意思
意图	動機・意図
意外	意外
意外地	意外と
意外的	思いがけない
意向	志向・意志
意义	かい・意義
意愿	意志・意欲
意志	意志・意志形
意志消沉	萎れる
溢出	溢れる・零れる
毅力	根性・根気
毅然	断固
因此	したがって・それゆえ
因而	それで・ついては
因素	要素
因特网	インターネット
因为	だって・なぜならば
阴暗	陰湿
阴暗的	陰気
阴沉沉	どんより
阴历	旧暦
阴谋	企み
阴天	ぐずつく・曇り
阴郁	じめじめ・陰湿
洇	滲む
音痴	音痴
音调	トーン
音读	音読み
音乐	ミュージック・音楽
音乐会	コンサート
音量	ボリューム
音色	音色
音信	便り
殷切希望	待ち望む
殷勤	愛嬌
吟	口ずさむ
银	シルバー・銀
银白色	銀色
银幕	スクリーン
银屏	スクリーン
银钱	金銭・銀
银色	シルバー・銀
引出	導き出す
引导	導く・誘導
引导出来	引き出す
引发	くすぐる
引荐	手引き
引进	導入
引力	引力
引路	案内します
引起	引き起こす・引く
引擎	エンジン・モーター
引人注目	目立つ
引入	取り入れる・導入する
引诱	誘う
引子	前置き
饮茶	喫茶
饮料	飲み物
饮品	嗜好品饮品
饮食	飲食
饮食生活	食生活
隐蔽	隠す
隐蔽的角落	隈
隐藏	伏せる・潜む
隐居	引きこもる
隐瞒	秘める・隠蔽
隐私	プライバシー
隐退	引っ込む
隐形眼镜	コンタクトレンズ
隐约	ちらっと
印度	インド
印度尼西亚	インドネシア
印象	イメージ・印象
印章	判子・印鑑
印证	裏付ける
应酬	応対
应答	対応・答える
应对	対処・応答
应付	凌ぐ・処する
应届生	現役
应募	応募
应试	受験
应用	当てはめる・適用
应有的	しかるべき
应允	心得る・承諾
应征	応募
英国	イギリス
英文	英文
英语	英文
英语会话	英会話
婴儿	ベビー・幼児
婴儿车	ベビーカー
樱花茶	桜茶
樱桃小丸子	ちびまる子ちゃん
迎接	出迎える・迎えます
迎面	もろに
迎送	送り迎え
盈亏	損得
营养	栄養
营养成分	栄養分
营养品	サプリメント
营业额	売り上げ
营造	醸し出す
赢	勝ち・勝ちます
赢得	攫う
赢定了	頂
影集	アルバム
影片	フィルム
影评	批評
影响	波及・響く
影像	映像
影印	コピーします
影子	影
映	写る・映す
映照	映える
硬	ハード
硬币	コイン・硬貨
硬干	強行
硬化	硬化
硬拉	引っ張る
硬塞	押し込む
硬要	あえて
哟	よう
拥抱	抱き締める
拥护	擁護
拥挤	混雑・賑わう
拥挤不堪	パンク
拥有	所有・持てる
永存	存続
永恒	永遠
永远	いつまでも・永久
泳衣	水着
勇敢	大胆
勇敢的	勇ましい・果敢
勇敢战斗	健闘
勇气	勇気・気力
涌出	湧き出る・湧く
涌起	盛り上がる
涌现	沸き上がる
用	もって・上/下/前/後ろ/隣/中/外
用餐	食事します
用处	用途
用地	敷地
用法	ない形・可能形式
用功	勉強します
用光	尽きる
用旧	くたびれる
用具	器具
用力	ぐんぐん
用手指	指差す
用途	用途
用完	使い切る
用心	心掛け・念
用纸	用紙
优点	メリット・利点
优惠券	クーポン
优良	良好
优劣	甲乙
优美	優美
优美的	しなやか・鮮やか
优胜	優勝
优胜者	チャンピオン
优势	優位
优秀	上等・秀でる
优秀的	芳しい
优雅的	エレガント
忧虑	憂える/愁える・懸念
忧心	病む
忧郁	じめじめ
幽灵	幽霊
幽默	ユーモア
悠久	悠久
悠然自得	のんびり・悠々
悠闲	のんき
悠闲地	ゆっくり
悠闲自在	のんびり
尤其	ひときわ・殊に
由来	由来する・縁起
由于	何しろ
由衷	まことに
犹豫	ぐらぐら・もたもた
犹豫不定	煮え切らない
犹豫不决	さまよう
邮费	送料
邮购	通信販売
