# Chinese → Japanese learner glosses
# Source: lxl66566/Japanese-Chinese-thesaurus final.json
# Upstream: https://github.com/lxl66566/Japanese-Chinese-thesaurus
# License: The Unlicense
# Method: invert concise Chinese gloss segments and intersect bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
啊	おお・やあ
部分	パート
部门	セクション・部門
部署	部署
部下	部下
部长	大臣
擦	塗る・擦る
擦掉	落とす
擦过	掠る
擦肩而过	擦れ違う
擦破	擦り傷
擦伤	擦り傷
擦拭	拭く
猜	当てる
猜测	推測・疑う
猜谜	クイズ
猜拳	じゃんけん
猜疑	勘ぐる・疑惑
才干	器・器量
才华	才能
才能	器量・才能
才智	知性
材料	データ・具
财产	財産・資産
财务	財務
财政	ファイナンス・財政
裁断	裁決
裁决	決裁・裁決
裁判	審判・裁判
裁员	リストラ
采	摘む
采访	インタビュー・取材
采购	仕入れ・買い入れる
采矿	採掘
采纳	取り上げる・受け入れる
采取对策	対策を講じる
采用	取り入れる・採る
彩票	宝くじ
彩色铅笔	色鉛筆
彩纸	色紙
踩	踏まえる・踏む
菜	おかず
菜单	メニュー
菜刀	包丁
菜谱	メニュー・献立
菜肴	おかず・料理
参拜	詣でる
参观	見学
参加	加入・連なる
参加者	参加者・来場者
参考手册	ガイドブック
参考资料	文献
参议院	参議院
参与	与る・携わる
参阅	参照
参照	照らす
餐	ごはん
餐叉	フォーク
餐刀	ナイフ
餐会	パーティー・飲み会
餐巾	ナプキン
餐巾纸	ティッシュ
餐具	食器
餐饮店	飲食店
残暴	横暴
残存	サバイバル
残酷	残酷
残酷的	ひどい
残暑	残暑
残余	名残
残障	障害
惭愧	恥じる
惨叫	悲鳴
仓库	倉庫
苍白	真っ青
藏青	紺
操场	グラウンド・校庭
操控	運転
操劳	苦労
操心	心遣い
操纵	左右・操る
操作	作業・取り扱う
操作指南	マニュアル
槽	溝
草	草
草草了事	そこそこ
草丛	藪
草地	グリーン・芝生
草稿	原稿
草率	おおざっぱ・投げやり
草图	デッサン
侧面	プロフィール・側面
侧面像	プロフィール
厕所	便所
测量	測る/量る・測定
测试	テスト
测算	測る
测验	テスト・考査
策划	仕組む・企てる
策略	ポリシー・戦術
策马奔腾	駆ける
曾经	いつか・かって
曾经有段时间	ひところ
叉子	フォーク
插	挟む・挿す
插队	割り込む
插花	生け花
插曲	エピソード
插入	挟む・挿す
插手	介入
插秧	田植え
插嘴	割り込む
插座	コンセント
查	調べる
查抄	没収
查明	特定・確かめる
查询	照会
查找	捜査
茶杯	カップ・湯呑み
茶道	お茶・茶道
茶点	おやつ
茶馆	喫茶店
茶色	茶色い
茶室	茶の間
茶匙	茶さじ
茶碗	湯呑み
察觉	悟る
岔开	横道・逸らす
差	差
差别	差・差異
差不多	かれこれ・やがて
差错	間違い
差额	差
差距	格差
差一点儿	いまいち・今一
差一点儿就	危うく
差异	ずれ・差別
拆散	崩す
拆卸	ばらす・分解
柴火	薪
掺入	加味
掺杂	交える・取り混ぜる
缠人	べたべた
缠住	付き纏う・絡む
蝉联	居座る
潺潺	さらさら
产地	生産地・産地
产假	育児休暇
产生	湧く・生じる
产生隔阂	隔たる
产业	産業
谄媚	おべっか・媚びる
阐明	解明する・論じる
颤抖	びくびく
昌盛	繁栄・繁盛
肠	腸
尝	嘗める/舐める
尝试	トライ・試しに
常常	しばしば・ともすると
常规	しきたり・恒例
常见	手近
常例	恒例
常年	例年・平年
常情	常・常識
常识	常識
常事	常
常态	本調子
常务董事	常務
常有的事	茶飯事
场合	場
场景	シーン・場面
场面	シーン・場
场面话	建前
场所	場・場所
畅快	すっきり・機嫌
畅销	売れます
畅销书	ベストセラー
唱	歌います
抄本	写し
抄录	書き取る
抄袭	盗作
抄写	写す
钞票	お札
焯	茹でる
超出	オーバー・上回る
超额	余分
超过	オーバー・凌ぐ
超过半数	過半数
超级计算机	スーパーコンピュータ
超级市场	スーパー
超声波	超音波
超市	スーパーマーケット
超音波	超音波
超越	超過
巢	巣
巢穴	巣
朝	向く・向ける
朝气	活気
朝鲜半岛	朝鮮半島
朝阳	朝日
朝着	目指す
嘲弄	からかう・冷やかす
嘲笑	嘲笑う・笑う
潮气	湿気
潮湿	しっとり・じめじめ
吵架	口げんか・言い合い
吵闹	騒ぎ・騒ぎます
吵嚷	がやがや
炒饭	チャーハン
炒面	焼きそば
车库	車庫
车牌号	バックナンバー
车行道	車道
车站	ステーション・停留所
车站附近	駅前
车站前	駅前
车辙	轍
彻底	あくまで・すっかり
彻底的	抜本的
彻夜	徹する・徹夜します
撤回	取り下げる
撤退	立ち退き
撤消	取り消す
撤销	取り下げる・撤廃
沉浸	浸る
沉静	しんみり
沉没	沈む
沉闷	鈍い
沉默	沈黙・無言
沉默寡言	無口
沉溺	耽る
沉溺于	溺れる
沉着	据える・落ち着く
沉重打击	痛手
沉重的	重い・重たい
沉醉	夢中になる・浸る
陈腐	黴
陈旧	黴
陈列	ディスプレー
陈列窗	ショーウインドー
陈述	プレゼン・代弁
衬衫	シャツ
衬衣	下着
称赞	称する・褒める
撑着	差す
成	成る
成败	成否
成本	コスト・実費
成分	成分
成功	実を結ぶ・当たり
成功与否	成否
成果	成果・結晶
成绩	業績
成见	先入観
成交额	取引高
成就	成果・足跡
成立	誕生
成年人	成人
成人	社会人
成人病	生活習慣病
成熟	実る・枯れる
成双	ダブル
成套	セット・揃い
成田	成田
成为	なります
成语	熟語
成员	メンバー
成长	発育・育ち
成组	揃い
呈报	上告・申告
承办	請け負う
承包	請け負う
承担	帯びる・引き受ける
承担责任	責任を取る
承蒙	甘える
承蒙关照	お世話になります
承诺	承諾
承认	肯定
诚恳	折り入って・誠意
诚然	まことに
诚实	正直・真面目
诚心	真心
诚信	信用
诚意	真心・誠意
城	城
城堡	城
城市	城下町・市
城市中心	都心
城镇	町・街
乘法	掛け算
乘客	乗客
乘上	乗り込む
乘务员	乗組員
乘坐	乗り込む
惩罚	罰
程度	ステージ・程度
程序	プログラム・プロセス
橙色	オレンジ
橙子	オレンジ
逞能	背伸び
逞强	背伸び
秤	はかり・秤
吃	頂戴・食べます
吃饱了	おなかがいっぱいです
吃不消	かなわない
吃穿住	衣食住
吃饭	食う・食事します
吃喝	いただく
吃惊	びっくり・呆れる
吃亏	損・火傷
吃肉	肉食
嗤笑	にやにや
池塘	池
迟到	遅れ
迟钝	鈍い
迟缓	のろのろ・遅れ
迟早	いつか
持久	長持ち・長続き
持续	続きます・続く
持续工作	勤続
持有	持ちます
持有者	持ち主
尺寸	サイズ・スケール
尺度	定規・物差し
尺子	定規・物差し
齿轮	歯車
斥责	罵る
赤脚	裸足
赤手空拳	手ぶら・空手
赤字	赤字
充电	充電
充分	しっかり・たっぷり
充分锻炼	鍛え上げる
充分享受	満喫
充满	満たす・満ちる
充沛	旺盛
充其量	せいぜい・高々
充裕	余裕
充足	たっぷり
冲	いれます
冲击	ショック
冲浪板	サーフィン
冲浪运动	サーフィン
冲破	突破
冲刷	流す
冲突	対立・衝突
冲撞	体当たり・押し合う
虫牙	虫歯
虫蛀	蝕む
崇拜者	ファン・信者
宠物	ペット
宠物食品	ペットフード
抽出	引き出す・抜き出す
抽筋	突っ張る
抽空	空ける
抽签	くじ・抽選
抽中	当たります
仇恨	仇・恨み
仇人	仇
绸子	絹
稠密	密集
筹	拵える
筹备	手配・調達
筹措	工面・遣り繰り
筹划	巡らす・工面
筹款	工面
酬谢	お礼
踌躇	尻込み・戸惑う
丑事	スキャンダル
丑闻	スキャンダル
臭	臭い
臭氧	オゾン
出	掻く
出版社	出版社
出差	出張します
出场	出場します・出番
出发	旅立つ・発つ
出发点	原点
出故障	壊れる
出轨	浮気
出乎意料	予想外・割に
出乎意外	案外
出界	アウト
出借	貸し出し・貸し出す
出境	出国
出局	アウト
出来	出る
出类拔萃	ずば抜ける・抜きん出る
出门	出かけます・出かける
出名	売り出す・売れる
出奇	突拍子もない
出勤	出勤します
出去	出る
出人头地	出世
出入口	出入り口
出色	ぱっと・美
出色的	立派
出色完成	やりこなす
出神	うっとり・ぼうっと
出生	出生・生まれます
出生年月日	生年月日
出示	お目にかける・示す
出售	発売・発売します
出息	出世
出席	来場
出现	現す・現れる
出现裂痕	ひびが入る
出现矛盾	行き違う
出洋相	惚ける/恍ける・見世物
出游	行楽
出众	ずば抜ける・抜群
出主意	助言
出租	貸し出し・貸し出す
出租车	タクシー
初	はじめ・初頭
初步	初歩
初步计划	青写真
初春	初春
初次登台	デビュー
初次见面	初めまして・初対面
初级	初級
初级中学	中学校
初期	初期・初頭
初学	初歩
初学者	初心者
初中	中学・中学校
除尘器	掃除機
除此之外	そのほか
除法	割り算
除去	取り除く・吹っ切る
除夕	大晦日
厨房	キッチン・厨房
厨师	コック・シェフ
橱	戸棚
